Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1995","1995","3050","FAO TIER 1","kt","8.0012","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1996","1996","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1996","1996","3050","FAO TIER 1","t","3087692.4","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1996","1996","3050","FAO TIER 1","kt","0.2161","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1996","1996","3050","FAO TIER 1","kt","8.3368","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1997","1997","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1997","1997","3050","FAO TIER 1","t","3129154.6","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1997","1997","3050","FAO TIER 1","kt","0.219","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1997","1997","3050","FAO TIER 1","kt","8.4487","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1998","1998","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1998","1998","3050","FAO TIER 1","t","3240782.35","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1998","1998","3050","FAO TIER 1","kt","0.2269","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1998","1998","3050","FAO TIER 1","kt","8.7501","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1999","1999","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1999","1999","3050","FAO TIER 1","t","3184248.6","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1999","1999","3050","FAO TIER 1","kt","0.2229","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1999","1999","3050","FAO TIER 1","kt","8.5975","E","Estimated value",""
